# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Mon Sep 12 10:19:22 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,No_Paris,Africa_Eastern,GDP|MER,billion US$2005/yr,70.812216,95.244012,174.74802,252.86982,364.31724,540.77784,834.68334,1293.14694,1939.0518,2784.6744,3861.2952
GCAM,No_Paris,Africa_Eastern,Population,million,229.496,261.195,316.741,367.627,410.576,443.316,476.063,497.165,507.225,506.716,498.888
GCAM,No_Paris,Africa_Eastern,Primary Energy,EJ/yr,3.4497997,4.3877485,6.17234144,7.927735644,9.9535419,12.68655375,16.35205343,20.89926696,25.81459189,30.5022657,34.90704081
GCAM,No_Paris,Africa_Eastern,Primary Energy|Biomass,EJ/yr,2.852595,3.559319,4.454321,5.292875,6.3165,7.459428,8.747009,10.110986,11.487595,12.754439,13.937184
GCAM,No_Paris,Africa_Eastern,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.127146266,0.418972877,0.850041608,1.418454519,2.093776183,2.814495756,3.55916887
GCAM,No_Paris,Africa_Eastern,Primary Energy|Biomass|w/o CCS,EJ/yr,2.852595,3.559319,4.454321,5.292875,6.189353734,7.040455123,7.896967392,8.692531481,9.393818817,9.939943244,10.37801513
GCAM,No_Paris,Africa_Eastern,Primary Energy|Coal,EJ/yr,0.0109287,0.0157631,0.0944328,0.338061,0.504979,0.717372,0.895725,1.10006,1.27343,1.38752,1.472
GCAM,No_Paris,Africa_Eastern,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0,0.072713645,0.196168446,0.346486643,0.487021946,0.56031941,0.557030755,0.509317932
GCAM,No_Paris,Africa_Eastern,Primary Energy|Coal|w/o CCS,EJ/yr,0.0109287,0.0157631,0.0944328,0.338061,0.432265355,0.521203554,0.549238357,0.613038054,0.71311059,0.830489245,0.962682068
GCAM,No_Paris,Africa_Eastern,Primary Energy|Fossil,EJ/yr,0.5581873,0.7689724,1.5631103,2.3526932,3.122799,4.318185,6.043441,8.31218,10.78799,13.14592,15.31451048
GCAM,No_Paris,Africa_Eastern,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,0,0,0.134306678,0.340840641,0.597734398,0.865503871,1.043681187,1.093228656,1.078632175
GCAM,No_Paris,Africa_Eastern,Primary Energy|Fossil|w/o CCS,EJ/yr,0.5581873,0.7689724,1.5631103,2.3526932,2.988492322,3.977344359,5.445706602,7.446676129,9.744308813,12.05269134,14.23587831
GCAM,No_Paris,Africa_Eastern,Primary Energy|Gas,EJ/yr,0.0178406,0.0238143,0.142976,0.399524,0.788097,1.36428,1.93885,2.53276,3.10068,3.77074,4.57639
GCAM,No_Paris,Africa_Eastern,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0,0.009793733,0.027256895,0.050169855,0.083571725,0.119201077,0.154463501,0.190028143
GCAM,No_Paris,Africa_Eastern,Primary Energy|Gas|w/o CCS,EJ/yr,0.0178406,0.0238143,0.142976,0.399524,0.778303267,1.337023105,1.888680145,2.449188275,2.981478923,3.616276499,4.386361857
GCAM,No_Paris,Africa_Eastern,Primary Energy|Geothermal,EJ/yr,0.0036108,0.0052956,0.02874454,0.04965054,0.06736008,0.07361693,0.07361906,0.073617463,0.07361742,0.07361698,0.07361607
GCAM,No_Paris,Africa_Eastern,Primary Energy|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,No_Paris,Africa_Eastern,Primary Energy|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594571,0.152642811,0.264747405,0.459896661,0.776606813,1.300797192,2.047804233,2.920033388,3.790492504,4.64933863
GCAM,No_Paris,Africa_Eastern,Primary Energy|Nuclear,EJ/yr,0,0,0.002267329,0.017420039,0.054346239,0.132333939,0.260806239,0.428296729,0.6189735,0.8114142,1.0060077
GCAM,No_Paris,Africa_Eastern,Primary Energy|Oil,EJ/yr,0.529418,0.729395,1.3257015,1.6151082,1.829723,2.236533,3.208866,4.67936,6.41388,7.98766,9.266120484
GCAM,No_Paris,Africa_Eastern,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0,0,0.0517993,0.1174153,0.2010779,0.2949102,0.3641607,0.3817344,0.3792861
GCAM,No_Paris,Africa_Eastern,Primary Energy|Oil|w/o CCS,EJ/yr,0.529418,0.729395,1.3257015,1.6151082,1.7779237,2.1191177,3.0077881,4.3844498,6.0497193,7.6059256,8.886834384
GCAM,No_Paris,Africa_Eastern,Primary Energy|Solar,EJ/yr,3.60E-06,7.20E-06,0.015669847,0.035492979,0.087999734,0.182823863,0.354151754,0.619497313,0.967792158,1.365616934,1.82638606
GCAM,No_Paris,Africa_Eastern,Primary Energy|Wind,EJ/yr,1.11E-05,0.0002327,0.019662624,0.056393886,0.129584847,0.27637402,0.560394378,0.973218457,1.42831281,1.83210759,2.1957655
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity,EJ/yr,0.069211378,0.101096874,0.298674495,0.509638572,0.814375803,1.351195921,2.218621361,3.439881359,4.850297793,6.268713578,7.667230081
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Biomass,EJ/yr,0.00113761,0.00113761,0.006976526,0.015539349,0.027885214,0.051692744,0.095581826,0.158985637,0.236867724,0.329111966,0.43088914
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.000567829,0.002443108,0.006984939,0.015321879,0.026633373,0.039604059,0.05348364
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.00113761,0.00113761,0.006976526,0.015539349,0.027317385,0.049249636,0.088596887,0.143663758,0.210234351,0.289507907,0.3774055
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Coal,EJ/yr,0.00237117,0.00341518,0.01550581,0.024292313,0.032610682,0.045627459,0.068854073,0.101964312,0.132302062,0.175262747,0.229943302
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0,5.69E-05,0.000291469,0.000953282,0.002385043,0.004521956,0.007162567,0.010319782
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.00237117,0.00341518,0.01550581,0.024292313,0.032553808,0.04533599,0.067900791,0.099579269,0.127780106,0.16810018,0.21962352
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Gas,EJ/yr,0.000185098,0.000218584,0.007750119,0.015790366,0.026312251,0.046060065,0.080838422,0.137058082,0.213390214,0.309793102,0.424067741
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0,0.002551601,0.008043728,0.017654226,0.03246766,0.05110351,0.07171061,0.09525292
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,0.000185098,0.000218584,0.007750119,0.015790366,0.02376065,0.038016337,0.063184196,0.104590422,0.162286704,0.238082492,0.328814821
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0036108,0.0052956,0.02874454,0.04965054,0.06736008,0.07361693,0.07361906,0.073617463,0.07361742,0.07361698,0.07361607
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594571,0.152642811,0.264747405,0.459896661,0.776606813,1.300797192,2.047804233,2.920033388,3.790492504,4.64933863
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Nuclear,EJ/yr,0,0,0.002267329,0.017420039,0.054346239,0.132333939,0.260806239,0.428296729,0.6189735,0.8114142,1.0060077
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Oil,EJ/yr,0.0265001,0.0368684,0.0851108,0.1031183,0.09499994,0.08778658,0.05373739,0.03049745,0.02235853,0.0219251,0.02201609
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,0.0265001,0.0368684,0.0851108,0.1031183,0.09499994,0.08778658,0.05373739,0.03049745,0.02235853,0.0219251,0.02201609
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Solar,EJ/yr,3.60E-06,7.20E-06,0.015669847,0.035492979,0.087999734,0.182823863,0.354151754,0.619497313,0.967792158,1.365616934,1.82638606
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Electricity|Wind,EJ/yr,1.11E-05,0.0002327,0.019662624,0.056393886,0.129584847,0.27637402,0.560394378,0.973218457,1.42831281,1.83210759,2.1957655
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Hydrogen,EJ/yr,0,0,0.005263813,0.017264702,0.039520627,0.086376821,0.146855158,0.242299525,0.353068103,0.47975561,0.58452533
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids,EJ/yr,0.52161474,0.7100572,1.339211,1.89303875,2.45482223,3.428987156,4.956590246,7.049162579,9.514310256,11.93148143,14.22532296
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Biomass,EJ/yr,0,0,0.0254928,0.1049553,0.23431272,0.49536503,0.833922375,1.291246379,1.890966165,2.605541336,3.444978353
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.05737242,0.18876246,0.37907299,0.625367968,0.925548881,1.257774556,1.616854653
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr,0,0,0.0254928,0.1049553,0.1769403,0.30660257,0.454849385,0.665878411,0.965417284,1.34776678,1.8281237
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Coal,EJ/yr,0,0,0.0184731,0.1198295,0.18735965,0.26361675,0.306128224,0.34836015,0.380077461,0.372829214,0.340384381
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Coal|w/ CCS,EJ/yr,0,0,0,0,0.03137675,0.08369639,0.14700298,0.20250247,0.230376152,0.225707474,0.199952261
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Coal|w/o CCS,EJ/yr,0,0,0.0184731,0.1198295,0.1559829,0.17992036,0.159125244,0.14585768,0.149701309,0.14712174,0.14043212
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Fossil,EJ/yr,0.00960074,0.0111242,0.0497012,0.24940045,0.47716451,0.795735426,1.042843301,1.2493598,1.418560191,1.568768294,1.746350511
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,0,0,0,0.03137675,0.08369639,0.14700298,0.20250247,0.230376152,0.225707474,0.199952261
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr,0.52161474,0.7100572,1.2952451,1.66825395,2.03314986,2.670005376,3.816539647,5.40955605,7.24326663,8.95311088,10.43996023
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Gas,EJ/yr,0.00960074,0.0111242,0.0312281,0.12957095,0.28980486,0.532118676,0.736715077,0.90099965,1.03848273,1.19593908,1.40596613
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Gas|w/o CCS,EJ/yr,0.00960074,0.0111242,0.0312281,0.12957095,0.28980486,0.532118676,0.736715077,0.90099965,1.03848273,1.19593908,1.40596613
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Liquids|Oil,EJ/yr,0.512014,0.698933,1.264017,1.538683,1.743345,2.1378867,3.07982457,4.5085564,6.2047839,7.7571718,9.0339941
GCAM,No_Paris,Africa_Eastern,Secondary Energy|Gases,EJ/yr,0.00196101,0.00541485,0.059779192,0.129072524,0.235750673,0.409797473,0.6542746,0.9960333,1.4248971,1.9435552,2.5148
GCAM,No_Paris,Africa_Eastern,Final Energy,EJ/yr,3.353051213,4.256132153,5.720074198,7.040682761,8.602114988,10.59738326,13.41824475,16.91525568,20.72596812,24.32445075,27.59918988
GCAM,No_Paris,Africa_Eastern,Final Energy|Electricity,EJ/yr,0.0564174,0.08116145,0.239161253,0.411443293,0.665120925,1.115871972,1.841545464,2.869457357,4.06636322,5.289009447,6.502707638
GCAM,No_Paris,Africa_Eastern,Final Energy|Gases,EJ/yr,0.00153791,0.00491755,0.029726415,0.069484677,0.133678365,0.233673754,0.370949602,0.554164589,0.786287029,1.079687418,1.428028505
GCAM,No_Paris,Africa_Eastern,Final Energy|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Africa_Eastern,Final Energy|Hydrogen,EJ/yr,0,0,0.005263813,0.017264713,0.039520667,0.086376883,0.146855273,0.242299789,0.353068327,0.479755251,0.584524873
GCAM,No_Paris,Africa_Eastern,Final Energy|Industry,EJ/yr,0.714545897,0.83623358,1.680821062,2.510218161,3.572397673,5.044183272,7.090170988,9.393791716,11.49799045,12.98120257,13.81634683
GCAM,No_Paris,Africa_Eastern,Final Energy|Industry|Electricity,EJ/yr,0.02265804,0.0285127,0.09597658,0.1687595,0.27536103,0.47208311,0.7869175,1.2198216,1.6864679,2.1062491,2.4738911
GCAM,No_Paris,Africa_Eastern,Final Energy|Industry|Gases,EJ/yr,0.00153791,0.00491755,0.015692212,0.026499751,0.039395743,0.052481462,0.065138388,0.075165516,0.080798448,0.085099067,0.084944625
GCAM,No_Paris,Africa_Eastern,Final Energy|Industry|Hydrogen,EJ/yr,0,0,0.00523437,0.01702941,0.0388074,0.0845346,0.142075,0.2315447,0.331498,0.441306,0.523526
GCAM,No_Paris,Africa_Eastern,Final Energy|Industry|Liquids,EJ/yr,0.081563867,0.1206729,0.2833317,0.4799481,0.7376174,1.197423,1.9321361,2.894593,3.939598,4.844684,5.604896
GCAM,No_Paris,Africa_Eastern,Final Energy|Industry|Solids,EJ/yr,0.60878608,0.68213043,1.2805862,1.8179814,2.4812161,3.2376611,4.163904,4.9726669,5.4596281,5.5038644,5.1290891
GCAM,No_Paris,Africa_Eastern,Final Energy|Liquids,EJ/yr,0.442168823,0.608560924,1.05503582,1.494428749,1.9994048,2.856087426,4.275198024,6.204571543,8.491943719,10.79138478,13.04152782
GCAM,No_Paris,Africa_Eastern,Final Energy|Residential and Commercial,EJ/yr,2.34415248,3.006249479,3.394578877,3.679436659,3.933440581,4.076526327,4.202513332,4.438188317,4.845424426,5.376850157,6.02647875
GCAM,No_Paris,Africa_Eastern,Final Energy|Residential and Commercial|Electricity,EJ/yr,0.03374176,0.05263095,0.14298674,0.2421806,0.3887737,0.6420895,1.0516072,1.644199,2.3695215,3.1621339,3.991092
GCAM,No_Paris,Africa_Eastern,Final Energy|Residential and Commercial|Gases,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Africa_Eastern,Final Energy|Residential and Commercial|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,No_Paris,Africa_Eastern,Final Energy|Residential and Commercial|Liquids,EJ/yr,0.06626972,0.07425673,0.14129144,0.20717613,0.26149275,0.3667247,0.53111375,0.72189382,0.9072252,1.0339668,1.1220748
GCAM,No_Paris,Africa_Eastern,Final Energy|Residential and Commercial|Solids,EJ/yr,0.225248,0.282652799,0.448509697,0.564454929,0.618734131,0.603284127,0.574393382,0.496229497,0.409382726,0.321310457,0.23172795
GCAM,No_Paris,Africa_Eastern,Final Energy|Solids,EJ/yr,0.83403408,0.964783229,1.729095897,2.382436329,3.099950231,3.840945227,4.738297382,5.468896397,5.869010826,5.825174857,5.36081705
