# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Mon Sep 12 10:00:56 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Paris,Africa_Eastern,GDP|MER,billion US$2005/yr,70.812216,95.244012,174.74802,252.86982,364.31724,540.77784,834.68334,1293.14694,1939.0518,2784.6744,3861.2952
GCAM,Paris,Africa_Eastern,Population,million,229.496,261.195,316.741,367.627,410.576,443.316,476.063,497.165,507.225,506.716,498.888
GCAM,Paris,Africa_Eastern,Primary Energy,EJ/yr,3.4497997,4.3877485,6.137425666,7.662596424,9.527222443,11.97776037,15.20155902,19.18989759,23.47867224,27.4651428,31.05113397
GCAM,Paris,Africa_Eastern,Primary Energy|Biomass,EJ/yr,2.852595,3.559319,4.389303,5.132388,5.963945,6.726613,7.442966,8.122587,8.744837,9.212622,9.451344
GCAM,Paris,Africa_Eastern,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0.038497239,0.175944486,0.455222065,0.839912236,1.353361306,1.978176085,2.607532911,3.19530801
GCAM,Paris,Africa_Eastern,Primary Energy|Biomass|w/o CCS,EJ/yr,2.852595,3.559319,4.389303,5.093890761,5.788000514,6.271390935,6.603053764,6.769225694,6.766660915,6.605089089,6.25603599
GCAM,Paris,Africa_Eastern,Primary Energy|Coal,EJ/yr,0.0109287,0.0157631,0.100197,0.207949,0.318105,0.476322,0.631536,0.786367,0.861815,0.870334,0.817191
GCAM,Paris,Africa_Eastern,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0.034104572,0.100071086,0.226838294,0.373288606,0.506395573,0.580083164,0.57403954,0.541193449
GCAM,Paris,Africa_Eastern,Primary Energy|Coal|w/o CCS,EJ/yr,0.0109287,0.0157631,0.100197,0.173844428,0.218033914,0.249483706,0.258247394,0.279971427,0.281731836,0.29629446,0.275997551
GCAM,Paris,Africa_Eastern,Primary Energy|Fossil,EJ/yr,0.5581873,0.7689724,1.5911231,2.2327517,2.992712,4.215693,5.956224,8.195557,10.639945,12.967354,15.10409103
GCAM,Paris,Africa_Eastern,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,0,0.089073691,0.231450124,0.485908556,0.803647479,1.118090897,1.340753101,1.427608287,1.438679677
GCAM,Paris,Africa_Eastern,Primary Energy|Fossil|w/o CCS,EJ/yr,0.5581873,0.7689724,1.5911231,2.143678009,2.761261876,3.729784444,5.152576521,7.077466103,9.299191899,11.53974571,13.66541136
GCAM,Paris,Africa_Eastern,Primary Energy|Gas,EJ/yr,0.0178406,0.0238143,0.14801,0.393324,0.795878,1.40853,2.01742,2.64954,3.28973,3.97748,5.02458
GCAM,Paris,Africa_Eastern,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0.006549719,0.021518538,0.053835062,0.097881673,0.155334424,0.218460837,0.283255647,0.352158328
GCAM,Paris,Africa_Eastern,Primary Energy|Gas|w/o CCS,EJ/yr,0.0178406,0.0238143,0.14801,0.386774281,0.774359462,1.354694938,1.919538327,2.494205576,3.071269163,3.694224353,4.672421672
GCAM,Paris,Africa_Eastern,Primary Energy|Geothermal,EJ/yr,0.0036108,0.0052956,0.0295008,0.05188733,0.07361702,0.073617,0.07361951,0.07361704,0.07360586,0.073617032,0.07361705
GCAM,Paris,Africa_Eastern,Primary Energy|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,Paris,Africa_Eastern,Primary Energy|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594571,0.154660896,0.278043424,0.503838043,0.870218467,1.481279516,2.351033805,3.350742515,4.3216042,5.30364354
GCAM,Paris,Africa_Eastern,Primary Energy|Nuclear,EJ/yr,0,0,0.00233867,0.0194133,0.0667274,0.1652359,0.321089499,0.520719789,0.74314772,0.9635626,1.1920554
GCAM,Paris,Africa_Eastern,Primary Energy|Oil,EJ/yr,0.529418,0.729395,1.3429161,1.6314787,1.878729,2.330841,3.307268,4.75965,6.4884,8.11954,9.262320034
GCAM,Paris,Africa_Eastern,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0,0.0484194,0.1098605,0.2052352,0.3324772,0.4563609,0.5422091,0.5703131,0.5453279
GCAM,Paris,Africa_Eastern,Primary Energy|Oil|w/o CCS,EJ/yr,0.529418,0.729395,1.3429161,1.5830593,1.7688685,2.1256058,2.9747908,4.3032891,5.9461909,7.5492269,8.716992134
GCAM,Paris,Africa_Eastern,Primary Energy|Solar,EJ/yr,3.60E-06,7.20E-06,0.015984133,0.041513194,0.100616777,0.209181667,0.402969873,0.722993268,1.156575195,1.663163398,2.28884587
GCAM,Paris,Africa_Eastern,Primary Energy|Wind,EJ/yr,1.11E-05,0.0002327,0.020610163,0.0614329,0.154652246,0.3436278,0.692058133,1.172952497,1.67025046,2.06567277,2.38760962
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity,EJ/yr,0.069211378,0.101096874,0.304671043,0.505381457,0.853560815,1.460039764,2.424922688,3.763427041,5.268844366,6.724266201,8.151194537
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Biomass,EJ/yr,0.00113761,0.00113761,0.006994619,0.013537122,0.024658527,0.041554491,0.068579891,0.105534423,0.149218314,0.198531235,0.244693
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0.00023671,0.001264267,0.00479066,0.013454846,0.028899435,0.05004154,0.074141513,0.1004978
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.00113761,0.00113761,0.006994619,0.013300412,0.02339426,0.036763831,0.055125045,0.076634988,0.099176774,0.124389722,0.1441952
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Coal,EJ/yr,0.00237117,0.00341518,0.01593829,0.022604797,0.028961023,0.037577185,0.050297088,0.066366589,0.073927966,0.090335401,0.111367608
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,2.48E-05,0.000174498,0.000838929,0.002799716,0.006680091,0.012311664,0.01907272,0.027192404
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.00237117,0.00341518,0.01593829,0.022580011,0.028786525,0.036738256,0.047497372,0.059686498,0.061616302,0.071262681,0.084175204
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Gas,EJ/yr,0.000185098,0.000218584,0.008038568,0.015019547,0.026322566,0.047554794,0.083549646,0.14035313,0.213984994,0.302487046,0.41272641
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0.001577239,0.005685634,0.015107991,0.032584212,0.05868721,0.09110191,0.12810079,0.17151302
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,0.000185098,0.000218584,0.008038568,0.013442308,0.020636932,0.032446803,0.050965434,0.08166592,0.122883084,0.174386256,0.24121339
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0036108,0.0052956,0.0295008,0.05188733,0.07361702,0.073617,0.07361951,0.07361704,0.07360586,0.073617032,0.07361705
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594571,0.154660896,0.278043424,0.503838043,0.870218467,1.481279516,2.351033805,3.350742515,4.3216042,5.30364354
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Nuclear,EJ/yr,0,0,0.00233867,0.0194133,0.0667274,0.1652359,0.321089499,0.520719789,0.74314772,0.9635626,1.1920554
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Oil,EJ/yr,0.0265001,0.0368684,0.086895,0.08768716,0.07796609,0.06819903,0.03467555,0.01754572,0.01414913,0.01282976,0.01170833
GCAM,Paris,Africa_Eastern,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
