# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Mon Sep 12 09:45:08 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Paris_plus,Africa_Eastern,GDP|MER,billion US$2005/yr,70.812216,95.244012,174.74802,252.86982,364.31724,540.77784,834.68334,1293.14694,1939.0518,2784.6744,3861.2952
GCAM,Paris_plus,Africa_Eastern,Population,million,229.496,261.195,316.741,367.627,410.576,443.316,476.063,497.165,507.225,506.716,498.888
GCAM,Paris_plus,Africa_Eastern,Primary Energy,EJ/yr,3.4497997,4.3877485,6.137425666,7.662596424,9.352367157,11.56106631,14.51528107,18.06216623,21.76945483,25.22694391,28.19882492
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Biomass,EJ/yr,2.852595,3.559319,4.389303,5.132388,6.150845,6.903289,7.62648,8.202351,8.63772,8.942865,9.014982
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0.038497239,0.407091385,1.106258483,1.96705643,3.116603291,4.432230421,5.712680928,6.648121348
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Biomass|w/o CCS,EJ/yr,2.852595,3.559319,4.389303,5.093890761,5.743753615,5.797030517,5.65942357,5.085747709,4.205489579,3.230184072,2.366860652
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Coal,EJ/yr,0.0109287,0.0157631,0.100197,0.207949,0.250193,0.305256,0.376386,0.439201,0.446122,0.373813,0.453997
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0.034104572,0.08421664,0.205350762,0.324114921,0.404676332,0.42643642,0.360021772,0.441112777
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Coal|w/o CCS,EJ/yr,0.0109287,0.0157631,0.100197,0.173844428,0.16597636,0.099905238,0.052271079,0.034524668,0.01968558,0.013791228,0.012884223
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Fossil,EJ/yr,0.5581873,0.7689724,1.5911231,2.2327517,2.5834608,3.463016,4.744778,6.410107,8.170782,9.843533,11.271997
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,0,0.089073691,0.262562112,0.592534262,0.979825245,1.337477633,1.574494605,1.661165681,1.79017418
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Fossil|w/o CCS,EJ/yr,0.5581873,0.7689724,1.5911231,2.143678009,2.320898688,2.870481738,3.764952755,5.072629367,6.596287395,8.182367319,9.48182282
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Gas,EJ/yr,0.0178406,0.0238143,0.14801,0.393324,0.662649,1.19219,1.70022,2.24692,2.80671,3.39851,4.30621
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0.006549719,0.036293872,0.097608,0.180230434,0.284237201,0.401344585,0.529463509,0.711001403
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Gas|w/o CCS,EJ/yr,0.0178406,0.0238143,0.14801,0.386774281,0.626355128,1.094582,1.519989566,1.962682799,2.405365415,2.869046491,3.595208597
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Geothermal,EJ/yr,0.0036108,0.0052956,0.0295008,0.05188733,0.07361707,0.07361687,0.073617237,0.07362414,0.073616998,0.073616975,0.073617002
GCAM,Paris_plus,Africa_Eastern,Primary Energy|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
