# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Tue Oct 04 13:56:35 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Ref,Africa_Eastern,GDP|MER,billion US$2005/yr,70.812216,95.244012,174.74802,252.86982,364.31724,540.77784,834.68334,1293.14694,1939.0518,2784.6744,3861.2952
GCAM,Ref,Africa_Eastern,Population,million,229.496,261.195,316.741,367.627,410.576,443.316,476.063,497.165,507.225,506.716,498.888
GCAM,Ref,Africa_Eastern,Primary Energy,EJ/yr,3.4497997,4.3877488,6.17234144,7.927735644,10.19409436,13.23269511,17.42775733,22.81926836,28.68940651,34.48159519,40.29653455
GCAM,Ref,Africa_Eastern,Primary Energy|Biomass,EJ/yr,2.852595,3.559319,4.454321,5.292875,6.186013,7.079898,8.119212,9.240246,10.198064,10.92991,11.676154
GCAM,Ref,Africa_Eastern,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Primary Energy|Biomass|w/o CCS,EJ/yr,2.852595,3.559319,4.454321,5.292875,6.186013,7.079898,8.119212,9.240246,10.198064,10.92991,11.676154
GCAM,Ref,Africa_Eastern,Primary Energy|Coal,EJ/yr,0.0109287,0.0157631,0.0944328,0.338061,0.817242,1.64719,2.70598,4.09404,5.74123,7.5214,9.75122
GCAM,Ref,Africa_Eastern,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Primary Energy|Coal|w/o CCS,EJ/yr,0.0109287,0.0157631,0.0944328,0.338061,0.817242,1.64719,2.70598,4.09404,5.74123,7.5214,9.75122
GCAM,Ref,Africa_Eastern,Primary Energy|Fossil,EJ/yr,0.5581873,0.7689724,1.5631103,2.3526932,3.503679,5.304984,7.899494,11.42362,15.48891,19.75887,24.11951
GCAM,Ref,Africa_Eastern,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Primary Energy|Fossil|w/o CCS,EJ/yr,0.5581873,0.7689724,1.5631103,2.3526932,3.503679,5.304984,7.899494,11.42362,15.48891,19.75887,24.11951
GCAM,Ref,Africa_Eastern,Primary Energy|Gas,EJ/yr,0.0178406,0.0238143,0.142976,0.399524,0.822512,1.40907,1.98434,2.56432,3.08947,3.67497,4.28955
GCAM,Ref,Africa_Eastern,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Primary Energy|Gas|w/o CCS,EJ/yr,0.0178406,0.0238143,0.142976,0.399524,0.822512,1.40907,1.98434,2.56432,3.08947,3.67497,4.28955
GCAM,Ref,Africa_Eastern,Primary Energy|Geothermal,EJ/yr,0.0036108,0.0052956,0.02874454,0.04965054,0.06741167,0.07361571,0.07361532,0.07361702,0.07361699,0.07361699,0.07361705
GCAM,Ref,Africa_Eastern,Primary Energy|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,Ref,Africa_Eastern,Primary Energy|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594574,0.152642811,0.264747405,0.449563125,0.725221972,1.179851691,1.793136929,2.490638707,3.139048794,3.716034246
GCAM,Ref,Africa_Eastern,Primary Energy|Nuclear,EJ/yr,0,0,0.002267329,0.017420039,0.054839239,0.122591139,0.229199639,0.362265428,0.5117938,0.6537664,0.7848363
GCAM,Ref,Africa_Eastern,Primary Energy|Oil,EJ/yr,0.529418,0.729395,1.3257015,1.6151082,1.863925,2.248724,3.209174,4.76526,6.65821,8.5625,10.07874
GCAM,Ref,Africa_Eastern,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Primary Energy|Oil|w/o CCS,EJ/yr,0.529418,0.729395,1.3257015,1.6151082,1.863925,2.248724,3.209174,4.76526,6.65821,8.5625,10.07874
GCAM,Ref,Africa_Eastern,Primary Energy|Solar,EJ/yr,3.60E-06,7.20E-06,0.015669847,0.035492979,0.076927384,0.151793294,0.304498033,0.526392126,0.789551195,1.055760354,1.317333546
GCAM,Ref,Africa_Eastern,Primary Energy|Wind,EJ/yr,1.11E-05,0.000233,0.019662624,0.056393886,0.130272071,0.256020968,0.489106338,0.811656783,1.177159522,1.49052045,1.77151265
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity,EJ/yr,0.06921128,0.10109759,0.298674521,0.509638572,0.858370784,1.416394276,2.29561204,3.503672633,4.910245478,6.323150101,7.720876326
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Biomass,EJ/yr,0.00113761,0.00113761,0.006976526,0.015539349,0.03113551,0.059267721,0.111517581,0.190432104,0.289724692,0.40448144,0.53608655
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.00113761,0.00113761,0.006976526,0.015539349,0.03113551,0.059267721,0.111517581,0.190432104,0.289724692,0.40448144,0.53608655
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Coal,EJ/yr,0.00237117,0.00341518,0.01550581,0.024292313,0.037455342,0.061282949,0.107620994,0.183306302,0.284062899,0.429397007,0.63586029
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.00237117,0.00341518,0.01550581,0.024292313,0.037455342,0.061282949,0.107620994,0.183306302,0.284062899,0.429397007,0.63586029
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Gas,EJ/yr,0.000185,0.000219,0.007750119,0.015790366,0.029796208,0.055226215,0.099184825,0.16914288,0.26834404,0.39947755,0.57493703
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,0.000185,0.000219,0.007750119,0.015790366,0.029796208,0.055226215,0.099184825,0.16914288,0.26834404,0.39947755,0.57493703
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0036108,0.0052956,0.02874454,0.04965054,0.06741167,0.07361571,0.07361532,0.07361702,0.07361699,0.07361699,0.07361705
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Hydro,EJ/yr,0.0353919,0.0539216,0.0885658,0.12321,0.174952,0.243792,0.312632,0.381471,0.450311,0.519151,0.553571
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.0390174,0.0594574,0.152642837,0.264747405,0.449563125,0.725221972,1.179851691,1.793136929,2.490638707,3.139048794,3.716034246
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Nuclear,EJ/yr,0,0,0.002267329,0.017420039,0.054839239,0.122591139,0.229199639,0.362265428,0.5117938,0.6537664,0.7848363
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Oil,EJ/yr,0.0265001,0.0368684,0.0851108,0.1031183,0.1104806,0.11424247,0.08535449,0.06695829,0.05871574,0.05672171,0.05868891
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr,0.0265001,0.0368684,0.0851108,0.1031183,0.1104806,0.11424247,0.08535449,0.06695829,0.05871574,0.05672171,0.05868891
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Solar,EJ/yr,3.60E-06,7.20E-06,0.015669873,0.035492979,0.076927384,0.151793294,0.304498033,0.526392126,0.789551195,1.055760354,1.317333546
GCAM,Ref,Africa_Eastern,Secondary Energy|Electricity|Wind,EJ/yr,1.11E-05,0.000233,0.019662624,0.056393886,0.130272071,0.256020968,0.489106338,0.811656783,1.177159522,1.49052045,1.77151265
GCAM,Ref,Africa_Eastern,Secondary Energy|Hydrogen,EJ/yr,0,0,0.00526417,0.017264435,0.043625588,0.098962037,0.167658555,0.270321639,0.397155826,0.534404488,0.634227577
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids,EJ/yr,0.52161474,0.7100572,1.339211,1.89303875,2.66758176,3.874624656,5.70677811,8.27512432,11.31046725,14.41896372,17.37772154
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Biomass,EJ/yr,0,0,0.0254928,0.1049553,0.2608805,0.49211312,0.752758459,1.08996665,1.50124878,1.94273288,2.45614962
GCAM,Ref,Africa_Eastern,Secondary Energy|Liquids|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
