Model,Scenario,Region,ESP Slug,Unit of entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM,No_Paris,Argentina,GDP|MER,billion US$2005/yr,179.9451,241.19088,415.1316,542.1261,687.38214,858.39036,1073.76558,1394.0208,1840.1058,2382.5424,2952.441
GCAM,No_Paris,Argentina,Population,million,38.476,40.306,44.248,47.793,51.12,54.185,56.91,59.485,61.691,63.373,64.537
GCAM,No_Paris,Argentina,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.08222226,0.221128458,0.334938159,0.406285045,0.482793745,0.597112876,1.011995891
GCAM,No_Paris,Argentina,Primary Energy|Biomass|w/o CCS,EJ/yr,0.0943942,0.0829623,0.145436807,0.244619849,0.357029027,0.488733138,0.561146607,0.614512614,0.672077709,0.742528,0.886565076
GCAM,No_Paris,Argentina,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0,0.062399587,0.149026555,0.210465177,0.243514527,0.271299351,0.298412296,0.321898872
GCAM,No_Paris,Argentina,Primary Energy|Coal|w/o CCS,EJ/yr,0.0367949,0.0412321,0.111027,0.280647,0.355854413,0.420549445,0.455092823,0.513653473,0.561732649,0.553082704,0.437585128
GCAM,No_Paris,Argentina,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0,0.08184283,0.1717657,0.258296486,0.339728874,0.39710174,0.417846428,0.503975388
GCAM,No_Paris,Argentina,Primary Energy|Gas|w/o CCS,EJ/yr,1.43436,1.56052,2.3097,2.79155,3.13873717,3.4741043,3.502673514,3.514011126,3.64670826,3.925283572,4.350864612
GCAM,No_Paris,Argentina,Primary Energy|Geothermal,EJ/yr,0,0,0.00819028,0.02107071,0.03847533,0.057213474,0.07900486,0.09976428,0.11697373,0.13160609,0.14000048
GCAM,No_Paris,Argentina,Primary Energy|Hydro,EJ/yr,0.122414,0.120913,0.126823,0.132732,0.140903,0.151337,0.16177,0.172204,0.182637,0.193071,0.198288
GCAM,No_Paris,Argentina,Primary Energy|Nuclear,EJ/yr,0.0247428,0.0258156,0.03091934,0.03449609,0.03942573,0.05068161,0.07128817,0.09720553,0.12156324,0.15063123,0.17989619
GCAM,No_Paris,Argentina,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0,0,0.03351416,0.05231488,0.07449438,0.09398919,0.10898843,0.10887463,0.1253795
GCAM,No_Paris,Argentina,Primary Energy|Oil|w/o CCS,EJ/yr,1.126807,1.3443945,1.830223,1.929258,1.75473484,1.54912212,1.60203062,1.80820181,2.05398557,2.19286537,2.067780611
GCAM,No_Paris,Argentina,Primary Energy|Solar,EJ/yr,0,0,0.002512385,0.007623308,0.018306804,0.033561249,0.050069822,0.070712061,0.093830706,0.122846722,0.156531077
GCAM,No_Paris,Argentina,Primary Energy|Wind,EJ/yr,0.00027,9.00E-05,0.008219193,0.025543442,0.058895159,0.110227705,0.199250479,0.320568615,0.465087356,0.619533669,0.780444673
GCAM,No_Paris,Argentina,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0,0.000336554,0.001013289,0.00219576,0.003859091,0.006229843,0.009811163,0.016368739
GCAM,No_Paris,Argentina,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.0046368,0.007902,0.01328565,0.018486637,0.023050875,0.027548538,0.035274276,0.044318607,0.050332015,0.0562613,0.055584969
GCAM,No_Paris,Argentina,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0,4.90E-05,0.000177218,0.000432074,0.000829389,0.001527616,0.00291083,0.006404059
