Model,Scenario,Region,ESP Slug,Unit of entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|industry ,Mt CO2e/yr,54.55818397,53.87830969,68.53755707,57.19602643,59.97184596,61.51663676,61.08628515,61.03082227,62.32826274,62.72760131,61.01216924
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|transport,Mt CO2e/yr,42.02501633,50.63545582,71.83753199,78.24711374,87.88942342,97.72729307,108.7493148,124.7452631,144.6130054,164.466527,179.7328232
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|electricity,Mt CO2e/yr,30.74623101,43.09769086,72.70741361,57.76025636,46.95100142,38.2340761,18.44354167,2.353509165,-9.333945339,-18.60260249,-30.96924505
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|Non-electricity energy supply,Mt CO2e/yr,6.9936204,6.0456055,13.54758576,-11.63785406,-57.36527247,-96.28617896,-113.9007161,-131.2154312,-154.2807062,-176.7112895,-187.6059272
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|buildings ,Mt CO2e/yr,19.64676432,23.87305048,30.93320486,28.87713898,29.49575123,29.24176383,27.70370554,26.0030545,25.15166547,23.59351406,20.83906891
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|land use and forestry,Mt CO2e/yr,15.75513516,380.2708895,33.31020834,18.70858808,36.97581492,26.57530701,9.102467,4.177378212,0.834986262,-1.157030831,1.836312104
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|waste,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Emissions|CO2 by sector|,Mt CO2e/yr,,,,,,,,,,,
GCAM,GCAM_Paris,Argentina,Emissions|GHG Emissions by gas|CO2,Mt CO2e/yr,169.7249497,557.8009953,290.8734881,229.1512693,203.918548,157.0088978,111.1845976,87.09459612,69.31325983,54.31671842,44.84519135
GCAM,GCAM_Paris,Argentina,Emissions|GHG Emissions by gas|CH4,Mt CH4/yr,4.771010477,5.469693755,5.827721652,6.065509313,6.669879436,7.143985383,7.409301257,7.589712895,7.779111632,8.079712212,7.900311905
